"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C3orf14",3.73413201517417,1.12994261252796,0.335044503172251,3.37251499973734,0.000744850292236442,0.00271804711810934
"EVC2",5.90332672185808,-1.07728563198369,0.321075509890321,-3.35524074181706,0.000792959444096516,0.00286865826851971
"SRP14",20.3473608077277,1.22139603957921,0.364377982798346,3.35200285757977,0.000802291906638032,0.00289702010101598
"ZCCHC14",12.1363159271806,-1.19705514929913,0.357225095174936,-3.350982798991,0.000805253040766784,0.00290636075406459
"CXXC4",3.3436139800095,1.27053358647342,0.382701064351731,3.31991129584552,0.000900460545853953,0.00320822645605193
"GUSBP5",5.5865651742478,-1.38570627827005,0.420881894550037,-3.29238747547338,0.000993406417610439,0.00350002755757597
"TRBJ2-6",5.49654967527715,-1.00045734723706,0.304266571821282,-3.28809484804234,0.0010086785082168,0.00354900321710451
"RAPGEF4",4.0770142792675,1.28241702697412,0.390071160860429,3.28764891038172,0.00101027744220438,0.00355301876446374
"REEP6",5.28564301656432,-1.17099013085078,0.356413685436018,-3.28548026829624,0.001018086729089,0.00357481516114087
"GLE1",38.0227534048982,-1.02168509252221,0.314602103234097,-3.2475469236198,0.00116404468252277,0.00401201371487925
"WRN",6.13435350067451,1.43636799185059,0.442734183391117,3.24431237915433,0.00117734551381097,0.00404618056506043
"ADAM11",3.75782663952909,-1.23233771289641,0.380252931534869,-3.24083685015168,0.00119179372115356,0.00409130689992292
"PHOSPHO2",5.88968119118852,1.02970069199101,0.317756990778725,3.24052883767414,0.0011930820376585,0.00409482422606622
"TMEM63C",27.0811252354028,-1.07885487784038,0.333300605713257,-3.2368824398973,0.00120843182846824,0.00413744674765742
"HBM",30.8294668577333,-2.14841596273485,0.666789695941471,-3.22202933820296,0.00127286100894168,0.00433890513410262
"RNA5-8SP6",88.0245880021778,1.77586933244996,0.552594253081153,3.21369489919245,0.00131038831772912,0.00445216617273085
"ARL14EPP1",6.7396096883769,1.12761645109434,0.353422987046662,3.19055775210644,0.00141998457653274,0.00475887865104876
"DUTP1",3.54998697097911,1.10722293514243,0.347187271080636,3.18912306806684,0.00142705109863674,0.00477642216178761
"OR1C1",3.91062878110412,1.11364933249238,0.349552235211426,3.18593108643347,0.00144288962432295,0.00482319638253228
"PRSS33",42.4168452588569,-1.0837039707816,0.340986779526681,-3.1781407252383,0.00148222789973992,0.00493768560378926
"CD79A",14.6105406387688,-1.19485253317288,0.376824499049558,-3.17084620608954,0.00151995591521111,0.00504712478517598
"PPIL4",5.27512509977502,1.20158645847962,0.382015630488923,3.14538558786656,0.00165868058176587,0.00544834639159691
"EVI2A",68.2916940212159,1.10591516699893,0.35674000816711,3.10005926355442,0.00193481925538516,0.00621343093658021
"CXCL8",22.0433853416085,1.03745401955136,0.335578868578951,3.09153560218075,0.0019912410225125,0.00638142401580012
"SLC1A7",6.6695899304114,-1.01681192509741,0.329819982999575,-3.08293001488245,0.00204973353305345,0.0065391848300228
"MAFIP",5.69930450121444,-1.94967329807066,0.633065375006599,-3.07973453460526,0.0020718517296426,0.00660025478173176
"OLFM1",8.45549596822748,-1.11491934336884,0.365484734196412,-3.05052233117261,0.00228443691575639,0.00717299332476229
"RGPD1",7.98656260512053,2.05806634720604,0.682328957412914,3.01623773232388,0.00255932514488704,0.00791764126811338
"IFNG",3.62554889999166,1.06241922709765,0.355358355736833,2.98971224384109,0.00279240373065094,0.00854674802401285
"BMX",19.9976823255485,1.04805225013602,0.350740575742449,2.98811236172919,0.00280706334430055,0.00857977806042414
"OR8B5P",4.22182566440541,1.08987667222565,0.369424979953868,2.95019755394382,0.00317570798871485,0.00954679921409013
"ZSCAN10",3.92397633281597,-1.08628271512086,0.368722572626496,-2.946070557555,0.00321838976546664,0.00966014650848648
"CKS2",2.56432175372773,1.21716806802546,0.413798355711757,2.94145216196392,0.00326677296505975,0.00978645260051759
"RABGGTBP1",2.09193078574199,1.16241378481004,0.395292834262977,2.94063965762841,0.00327535314243352,0.00980458998314349
"HBQ1",22.9013000873023,-1.22364650290677,0.419444341267568,-2.91730363844911,0.00353071880277237,0.0104681059481853
"HBB",422.098785449501,1.44955625954318,0.497721989434787,2.91238139024016,0.00358684391981546,0.0106081762938999
"PKD1P2",5.73384821107993,1.91404289451709,0.657234062207346,2.91226977507633,0.00358812595066116,0.0106099469883671
"FAM157A",5.18920479882185,1.42678036309829,0.490803023976287,2.90703254340019,0.00364875235888315,0.0107481051595633
"RPS12P24",6.23632637992451,1.10916241546693,0.388007756741895,2.85860887107149,0.00425503069345169,0.0122985594894312
"ADORA1",2.13455137563097,-1.68160651495894,0.589849908826561,-2.85090578093724,0.00435948852585409,0.0125374658901531
"TRIB3",5.55405120043254,-1.08951198642594,0.38547192326483,-2.82643668882056,0.00470690475866084,0.0134074683888694
"KIR3DL2",7.02683019368082,-1.09162343627919,0.386868031851941,-2.82169459971552,0.0047770645138371,0.0135873751064936
"FAM220A",5.14848556403617,-1.31028012227435,0.464585547498734,-2.82032045406648,0.00479757128089896,0.0136308514702877
"RAB4B-EGLN2",7.44759410215344,-1.66107846013517,0.589576506854076,-2.81740951483723,0.00484127539608745,0.0137347858715603
"LNX1",4.16669117229741,1.04110147157545,0.371529458371571,2.80220436930801,0.00507547100740633,0.0142869540123274
